arm,case_index,scenario_seed,simulation_seed,controller,scenario,force_rmse_n,peak_force_n,tangent_rmse_mm,orientation_rmse_deg,contact_ratio_pct,torque_rms_nm,saturation_pct,controller_p95_us,gate_pass,failed_checks,verified_force_rmse_n_abs_error,verified_peak_force_n_abs_error,verified_tangent_rmse_mm_abs_error,verified_orientation_rmse_deg_abs_error,verified_contact_ratio_pct_abs_error,verified_torque_rms_nm_abs_error,verified_saturation_pct_abs_error,first_raw_contact_time_s,first_contact_wall_normal_velocity_m_s,early_raw_peak_n,late_raw_peak_n,seconds_over_35_n,peak_wall_normal_velocity_m_s,peak_commanded_wall_normal_force_n,event_timing,has_raw_contact
consistent_reference,23,7762164895732114258,6393277573368700675,safe_adaptive_hybrid,blind_23,1.0490451445130138,68.35753194814829,5.831144324560107,2.003093303616564,100.0,24.870658386172405,0.0,283.6672,no,peak_force,,,,,,,,0.534,0.15400977506531457,68.35753194814829,31.671143199131283,0.026000000000000002,0.19372134968605229,8.486635235889395,aligned_split_step,True
consistent_reference,24,15801246096548403211,16623392689781011005,safe_adaptive_hybrid,blind_24,1.0828817539003788,29.289122083303493,20.429458537271277,4.279128690252431,100.0,23.175478715505246,0.0,302.69215,no,tangent_rmse,,,,,,,,0.338,0.05699622158871973,18.73359421740335,29.289122083303493,0.0,0.018976365486938537,10.137109354742373,aligned_split_step,True
consistent_reference,25,1867139436221958153,9399747717227457875,safe_adaptive_hybrid,blind_25,0.945155803017453,24.25415234806783,13.213438781849009,4.064674013972132,100.0,25.09902887363344,0.0,270.10114999999996,yes,,,,,,,,,0.366,0.05828980411572833,20.449426178757744,24.25415234806783,0.0,0.007281129372059068,9.011833003706137,aligned_split_step,True
consistent_reference,26,11592432456378200421,12285592182587332778,safe_adaptive_hybrid,blind_26,0.9538737460477711,25.119053697708228,10.658768974048659,2.565611427919629,100.0,24.987964973301434,0.0,320.1814,yes,,,,,,,,,0.44,0.04526564081323608,18.08037329399992,25.119053697708228,0.0,0.019859220051249637,10.214208305033088,aligned_split_step,True
consistent_reference,27,16523608553540347647,1571243207715084785,safe_adaptive_hybrid,blind_27,1.2330048763411414,39.23302707363404,10.231037431798182,0.3912109039107202,100.0,24.048257859412786,0.0,274.68405,no,peak_force,,,,,,,,0.556,0.028578292522827658,17.87127867121711,39.23302707363404,0.042,0.020979721195673668,11.665256317668556,aligned_split_step,True
consistent_reference,28,1511493531571902563,8975517840189399331,safe_adaptive_hybrid,blind_28,1.0736081272424403,50.27423826876313,5.922094261505172,2.2237502406821648,100.0,24.849064144891244,0.0,316.82495,no,peak_force,,,,,,,,0.5740000000000001,0.07045533745530695,50.27423826876313,31.27984095040355,0.01,0.11048703451702697,9.911954704014132,aligned_split_step,True
consistent_reference,29,16426500393162398356,3048709568809743662,safe_adaptive_hybrid,blind_29,0.9728987917502592,25.87801708982618,11.05452071257936,2.380110874411261,100.0,24.96277296359664,0.0,295.38045,yes,,,,,,,,,0.45,0.0420377693182381,17.62579098149506,25.87801708982618,0.0,0.016132716231018272,10.266786156131841,aligned_split_step,True
consistent_reference,30,15222772503400557143,8585769581436669654,safe_adaptive_hybrid,blind_30,0.9196140593122754,23.053254201794246,14.502874332212798,4.356462467473881,100.0,25.074133804471096,0.0,288.89515,yes,,,,,,,,,0.342,0.05563119162595251,19.110599650672988,23.053254201794246,0.0,0.011795696184517835,8.922869852883851,aligned_split_step,True
consistent_reference,31,15963951439796675841,14785856109203389861,safe_adaptive_hybrid,blind_31,1.4656128662570895,47.839504764268966,11.348998590116498,2.076411386666772,100.0,22.971547791564007,0.0,297.30345,no,peak_force,,,,,,,,0.636,0.0272683461808153,17.044793298719693,47.839504764268966,0.202,0.01923776105687989,13.730637586548387,aligned_split_step,True
consistent_reference,32,9932953420175882799,1787605230633353366,safe_adaptive_hybrid,blind_32,1.5957809125192934,33.00124520682822,7.0680771053489515,4.914648997880819,100.0,24.693834303392887,0.0,287.10240000000005,yes,,,,,,,,,0.716,0.09328724462522235,33.00124520682822,24.720554761215702,0.0,0.09499426590404596,11.953664422977633,aligned_split_step,True
consistent_reference,33,7046938307046653326,380702564837712535,safe_adaptive_hybrid,blind_33,1.5131143798025712,36.26853634260297,18.0074685565223,3.7253152131349974,100.0,23.650245277007965,0.0,312.6492,no,peak_force;tangent_rmse,,,,,,,,0.366,0.054834061201751515,29.138946314861755,36.26853634260297,0.016,0.022408787701156608,9.973121922032286,aligned_split_step,True
consistent_reference,34,6608365354930343734,2244055173431547424,safe_adaptive_hybrid,blind_34,0.9593248712197342,25.46660027916879,7.366252966413568,1.0566162339721656,100.0,24.84209818209264,0.0,291.57974999999993,yes,,,,,,,,,0.61,0.027470045336240465,12.100877784897225,25.46660027916879,0.0,0.019010878868281827,13.25521810504844,aligned_split_step,True
