case,arm,simulation_seed,paired_baseline_seed,controller_yaw_error_deg,sample_count,force_rmse_n,peak_force_n,contact_ratio_pct,tangent_rmse_mm,tangent_velocity_error_rms_m_s,orientation_rmse_deg,saturation_pct,worst_force_phase,worst_phase_force_rmse_n,worst_tangent_phase,worst_phase_tangent_rmse_mm,worst_orientation_phase,worst_phase_orientation_rmse_deg,force_recovery_status,force_recovered,force_recovery_time_s,tangent_recovery_status,tangent_recovered,tangent_recovery_time_s,tangential_update_ready_pct,coefficient_min,coefficient_max,max_requested_tangential_force_n,compensation_limit_observed,max_normal_operation_coefficient_rate_s,max_coefficient_reset_jump,max_normal_operation_force_slew_n_s,max_force_reset_jump_n,paired_force_rmse_increase_n,paired_orientation_rmse_increase_deg,paired_friction_force_rmse_increase_n,paired_friction_orientation_rmse_increase_deg,failed_gates,all_gates_pass
friction_step_down,friction,29,29,0.0,5250,0.15841132541923525,14.263183408850608,100.0,5.223601607133623,0.010008270074755049,0.21346930588851662,0.0,post_step,0.16094153794802774,pre_step,6.522758601061702,post_step,0.23722188972979386,recovered,True,0.0,not_recovered,False,,0.0,0.45,0.45,5.926000969014917,False,0.0,0.0,68.23571902799222,0.0,-0.003937372025728525,0.01580111125585998,0.0,0.0,,yes
friction_step_down,online,29,29,0.0,5250,0.15626956331020112,14.144598735540027,100.0,3.8149250490918685,0.008830104306300426,0.20937359189328805,0.0,pre_step,0.1580910856789634,pre_step,5.46079450138862,post_step,0.22832483031755849,recovered,True,0.0,recovered,True,0.5460000000000003,99.6952380952381,0.3031776415208425,0.508786299181022,5.984360762996737,False,0.30000000000002247,0.0,20.00000000000033,0.0,-0.006079134134762659,0.011705397260631412,-0.0021417621090341343,-0.004095713995228567,,yes
friction_ramp_up,baseline,11,11,0.0,5250,0.12000205050075048,12.626419616146608,100.0,12.613354940744589,0.016418412476239395,0.1834102012731184,0.0,pre_ramp,0.20753089579053996,post_ramp,15.629888998670738,pre_ramp,0.2772318046641816,recovered,True,0.0,not_recovered,False,,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.017058083708593408,-0.010829761888967726,,yes
friction_ramp_up,integral,11,11,0.0,5250,0.12818653460445678,12.665230985342115,100.0,8.128304709731959,0.011786693351770327,0.22069609671955293,0.0,pre_ramp,0.21782391434765705,post_ramp,10.090597169101876,pre_ramp,0.3157056091748625,recovered,True,0.0,not_recovered_with_limit_active,False,,0.0,0.45,0.45,6.000000000000002,True,0.0,0.0,9.179546384700657,0.0,0.0081844841037063,0.037285895446434514,0.025242567812299707,0.026456133557466788,,yes
friction_ramp_up,friction,11,11,0.0,5250,0.10294396679215707,12.681197359169499,100.0,4.815003706122106,0.006182535449260698,0.19423996316208614,0.0,pre_ramp,0.16172899961415596,post_ramp,6.425193682337985,pre_ramp,0.28453430873518876,recovered,True,0.0,not_recovered,False,,0.0,0.45,0.45,5.635460984025915,False,0.0,0.0,69.51769013804703,0.0,-0.017058083708593408,0.010829761888967726,0.0,0.0,,yes
friction_ramp_up,online,11,11,0.0,5250,0.1087903933835065,12.667927627150771,100.0,3.643172228363768,0.005121255794116718,0.19590602427647605,0.0,pre_ramp,0.1782194363045242,post_ramp,5.242640883978401,pre_ramp,0.28727955440499364,recovered,True,0.0,not_recovered,False,,99.63809523809523,0.3172374747021651,0.5102132028109083,5.984360762996737,False,0.30000000000002247,0.0,20.00000000000045,0.0,-0.011211657117243978,0.012495823003357637,0.0058464265913494295,0.0016660611143899107,,yes
friction_ramp_up,baseline,29,29,0.0,5250,0.1158803237958631,12.60251796780494,100.0,12.603584204367664,0.01641912126496719,0.18349950051402963,0.0,pre_ramp,0.19893508479080538,post_ramp,15.612626349359356,pre_ramp,0.2773441937971048,recovered,True,0.0,not_recovered,False,,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.01739025990990621,-0.010786614224161772,,yes
friction_ramp_up,integral,29,29,0.0,5250,0.12455107719036039,12.642756853196085,100.0,8.120769048121538,0.011812954421119357,0.22085028799458672,0.0,pre_ramp,0.21117235923546765,post_ramp,10.07937370804621,pre_ramp,0.31589601449961285,recovered,True,0.0,not_recovered_with_limit_active,False,,0.0,0.45,0.45,6.000000000000002,True,0.0,0.0,9.277958732304189,0.0,0.008670753394497285,0.03735078748055709,0.026061013304403496,0.026564173256395318,,yes
friction_ramp_up,friction,29,29,0.0,5250,0.0984900638859569,12.632483981961142,100.0,4.8030403036286575,0.006169719993973197,0.1942861147381914,0.0,pre_ramp,0.15432432020567105,post_ramp,6.403127073473162,pre_ramp,0.28451085317988595,recovered,True,0.0,not_recovered,False,,0.0,0.45,0.45,5.620471904489421,False,0.0,0.0,68.23220483081792,0.0,-0.01739025990990621,0.010786614224161772,0.0,0.0,,yes
friction_ramp_up,online,29,29,0.0,5250,0.10467813656091016,12.6644821366203,100.0,3.6303955392588114,0.005104316279347856,0.1959139278208177,0.0,pre_ramp,0.1713023119987463,post_ramp,5.219812727994587,pre_ramp,0.28714554208257426,recovered,True,0.0,not_recovered,False,,99.63809523809523,0.316485113406449,0.5086063423469922,5.984360762996737,False,0.30000000000002247,0.0,20.000000000000433,0.0,-0.011202187234952948,0.012414427306788073,0.006188072674953263,0.0016278130826263004,,yes
