profile,arm,case_index,scenario,simulation_seed,controller_yaw_deg,wall_yaw_deg,wall_time_constant_s,tool_mass_kg,has_raw_contact,force_rmse_n,peak_force_n,tangent_rmse_mm,contact_ratio_pct,saturation_pct,orientation_rmse_deg,measurement_rmse_n,seconds_over_35_n,first_raw_contact_time_s,max_geometric_separation_um,mean_true_tangent_force_n,median_true_friction_ratio,legacy_metric_max_abs_error,repair_pass,failed_repair_checks
legacy,surface_minus5,4,surface_dev_04,11,-20.0,-15.0,0.012,0.1,True,9.964983352614357,27.128709356770717,11.844290639845342,61.133333333333326,0.0,0.5222256751544844,10.384999314057001,0.0,0.544,42.66435235699903,5.4373924095254536,0.45,0.0,no,contact_ratio;raw_force_rmse
legacy,surface_minus5,5,surface_dev_05,29,-20.0,-15.0,0.012,0.1,True,9.959078583809955,27.176643414357784,11.843636135105335,61.06666666666667,0.0,0.5225287295736176,10.379920049781873,0.0,0.546,41.3094855376897,5.42604362058544,0.45,0.0,no,contact_ratio;raw_force_rmse
legacy,surface_minus5,6,surface_dev_06,11,-20.0,-15.0,0.012,0.13,True,10.04005025089012,27.75634866638629,11.847651237695123,60.73333333333333,0.0,0.522416167067496,10.462963599070235,0.0,0.544,40.07946837619042,5.438276319235697,0.45,0.0,no,contact_ratio;raw_force_rmse
legacy,surface_minus5,7,surface_dev_07,29,-20.0,-15.0,0.012,0.13,True,10.028502977406664,27.196594899482506,11.845862086257858,60.73333333333333,0.0,0.5227329445706742,10.450205403487228,0.0,0.546,41.10148466736352,5.4284342887497985,0.45,0.0,no,contact_ratio;raw_force_rmse
legacy,surface_minus5,8,surface_dev_08,11,-5.0,0.0,0.005,0.1,True,11.812712511091261,31.622696323123616,11.75832972525093,52.93333333333333,0.0,0.4105107072746711,12.32343966269411,0.0,0.5740000000000001,43.21355651201036,5.409611260877377,0.45,0.0,no,contact_ratio;raw_force_rmse
legacy,surface_minus5,9,surface_dev_09,29,-5.0,0.0,0.005,0.1,True,11.805169806770312,32.070652008753655,11.753321245673442,52.93333333333333,0.0,0.41091312079733633,12.312397166767548,0.0,0.5740000000000001,44.79295384526155,5.396190314001319,0.45,0.0,no,contact_ratio;raw_force_rmse
legacy,surface_minus5,10,surface_dev_10,11,-5.0,0.0,0.005,0.13,True,11.895941675163668,32.46443411746727,11.760963416120171,52.6,0.0,0.41069230130222406,12.404359216464057,0.0,0.5740000000000001,41.23292163157183,5.4081080634719925,0.45,0.0,no,contact_ratio;raw_force_rmse
legacy,surface_minus5,11,surface_dev_11,29,-5.0,0.0,0.005,0.13,True,11.888034718813461,32.352455850140196,11.756155474304817,52.666666666666664,0.0,0.4109648656572936,12.394185467507974,0.0,0.5740000000000001,42.34721509479428,5.402582531497975,0.45,0.0,no,contact_ratio;raw_force_rmse
legacy,surface_minus5,12,surface_dev_12,11,-5.0,0.0,0.012,0.1,True,10.1212903069136,26.926263993485104,11.758031901604808,60.06666666666667,0.0,0.41077408255689596,10.55336247426395,0.0,0.5740000000000001,38.51808477885882,5.40955760147613,0.45,0.0,no,contact_ratio;raw_force_rmse
legacy,surface_minus5,13,surface_dev_13,29,-5.0,0.0,0.012,0.1,True,10.108126809427576,26.8838144305941,11.753322873502274,60.06666666666667,0.0,0.4110462474309812,10.539609730009314,0.0,0.5740000000000001,42.07828451976287,5.401104348770913,0.45,0.0,no,contact_ratio;raw_force_rmse
