method,case_index,simulation_seed,wall_yaw_deg,wall_time_constant_s,tool_mass_kg,from_scale,to_scale,force_rmse_n,peak_force_n,tangent_rmse_mm,contact_ratio_pct,saturation_pct,orientation_rmse_deg,measurement_rmse_n,seconds_over_35_n,first_raw_contact_time_s,max_penetration_mm,evaluation_median_penetration_mm,projection_pct,max_compensation_force_n,tangent_velocity_error_rms_m_s,minimum_torque_headroom_nm,minimum_reserved_torque_headroom_nm
online,7,29,-15.0,0.012,0.13,1.0,2.0,0.004694449734797657,-0.08322299811427492,0.04495386665427126,0.0,0.0,-0.2652685856719843,-0.00023092214362271934,0.0,0.0020000000000000018,-0.0008666480317449654,0.000572321821363686,0.0,0.0,0.00044621034971671896,0.006404350552791982,0.006404350552791982
baseline,8,11,0.0,0.005,0.1,1.0,2.0,-0.001787196592107576,-0.09383067459624783,-0.0021775848180602964,0.0,0.0,-0.19825493538238265,-0.0005158775390406156,0.0,0.0020000000000000018,-0.000908611805683357,-0.00021273139266808627,0.0,0.0,0.00015791210216187235,0.0002597824395076387,0.0002597824395076387
integral,8,11,0.0,0.005,0.1,1.0,2.0,-0.0020026847883402032,-0.09415823072578355,0.028492337017191005,0.0,0.0,-0.2451089892584996,-0.0004598400730095875,0.0,0.0020000000000000018,-0.000911735248632084,-0.0002751889780494565,0.0,0.011001754371326555,0.0003207846854147399,-0.0007473996438331909,-0.0007473996438331909
friction,8,11,0.0,0.005,0.1,1.0,2.0,-0.0026577958182549544,-0.09383067459624783,0.014666444930256262,0.0,0.0,-0.21164381332483556,-0.0004087068719746123,0.0,0.0020000000000000018,-0.000908611805683357,-6.941598820753292e-05,0.0,-0.007570579341897421,0.0002672781403511935,0.0015165579513176652,0.0015165579513176652
online,8,11,0.0,0.005,0.1,1.0,2.0,-0.002551707063498554,-0.05683990859453303,0.04129207465608431,0.0,0.0,-0.21580427671927346,-0.00024551534106528883,0.0,0.0020000000000000018,-0.000908611805683357,-0.00013293256168056544,0.0,0.0,0.0004525666336804455,0.0013766920245190661,0.0013766920245190661
baseline,9,29,0.0,0.005,0.1,1.0,2.0,-0.00048244643200714976,-0.10074690554110788,-0.0021213899069998376,0.0,0.0,-0.19834989629878946,-0.00038812727980197526,0.0,0.0039999999999998925,-0.0009184282978580427,-0.00015330612185282533,0.0,0.0,0.00015864159821857293,4.7793170072196745e-05,4.7793170072196745e-05
integral,9,29,0.0,0.005,0.1,1.0,2.0,-0.0007519693017554729,-0.10096757277763402,0.028645111867600548,0.0,0.0,-0.2451748938824289,-0.00042999216569006293,0.0,0.0039999999999998925,-0.0009211036753886681,0.0002381195817469095,0.0,0.012358964140306128,0.00032277989897934456,-0.0010702120078631694,-0.0010702120078631694
friction,9,29,0.0,0.005,0.1,1.0,2.0,-0.0016831774068807315,-0.10074690554110788,0.015296132037525334,0.0,0.0,-0.21177220221617055,-0.0003253056489367079,0.0,0.0039999999999998925,-0.0009184282978580427,-0.00018562793782650466,0.0,-0.005951560671381806,0.0002713181477683648,0.0013886351321303891,0.0013886351321303891
online,9,29,0.0,0.005,0.1,1.0,2.0,-0.0016433056917977973,-0.10074690554110788,0.042391676034896575,0.0,0.0,-0.21592671372633662,-0.0002336959862713761,0.0,0.0039999999999998925,-0.0009184282978580427,-0.0002923241733954196,0.0,0.0,0.0004591021788245848,0.0011543436116845385,0.0011543436116845385
baseline,10,11,0.0,0.005,0.13,1.0,2.0,-0.0018806944105201617,-0.09389138518003648,-0.0021673506764248174,0.0,0.0,-0.198261786611092,-0.0005111070843717702,0.0,0.0020000000000000018,-0.0009066788796974201,-0.00019892226213458208,0.0,0.0,0.00015841969637389944,0.0002788563144147105,0.0002788563144147105
integral,10,11,0.0,0.005,0.13,1.0,2.0,-0.002092309754739119,-0.09422227648341597,0.02870517664563188,0.0,0.0,-0.24512430409174235,-0.0004555744756389313,0.0,0.0020000000000000018,-0.0009098209400315582,-0.0002624346265855948,0.0,0.011007764432541478,0.00032222322208697723,-0.0006514862932345267,-0.0006514862932345267
friction,10,11,0.0,0.005,0.13,1.0,2.0,-0.00274972506873028,-0.09389138518003648,0.014787278586806618,0.0,0.0,-0.2116551012644002,-0.00040467009865108317,0.0,0.0020000000000000018,-0.0009066788796974201,-5.0922294658750644e-05,0.0,-0.0075943293579090465,0.00026894385449963577,0.0016039500706259702,0.0016039500706259702
online,10,11,0.0,0.005,0.13,1.0,2.0,-0.0026415753718439516,-0.0565746353229315,0.04139261063639266,0.0,0.0,-0.2158159212311472,-0.00024396771766951875,0.0,0.0020000000000000018,-0.0009066788796974201,-0.00018872991758289714,0.0,0.0,0.0004538609304532322,0.0014703203127108821,0.0014703203127108821
baseline,11,29,0.0,0.005,0.13,1.0,2.0,0.0010258914398817987,-0.09249448358749568,-0.0011083532150522046,0.0,0.0,-0.19836327618287547,-0.00034687127173951837,0.0,0.0039999999999998925,-0.0008389012183251943,-0.00012354649980839127,0.0,0.0,0.00016169532475882042,2.0479275938178887e-05,2.0479275938178887e-05
integral,11,29,0.0,0.005,0.13,1.0,2.0,0.000611768956540748,-0.09271669452600584,0.029777463523721792,0.0,0.0,-0.24519238089697465,-0.00038817328806650675,0.0,0.0039999999999998925,-0.0008415699365715845,0.00023287760642087818,0.0,0.012939536804268847,0.00032739167750549594,-0.001027735557707743,-0.001027735557707743
friction,11,29,0.0,0.005,0.13,1.0,2.0,-0.00023179561044309183,-0.09249448358749568,0.015365439317229557,0.0,0.0,-0.21179576479329162,-0.00028357646071300313,0.0,0.0039999999999998925,-0.0008389012183251943,-0.00017335590327127726,0.0,-0.003542982483283552,0.0002728077462157701,0.00142460038178438,0.00142460038178438
online,11,29,0.0,0.005,0.13,1.0,2.0,-0.00020539392852894633,-0.09249448358749568,0.04270861530993697,0.0,0.0,-0.21594944946967692,-0.00018808983033691273,0.0,0.0039999999999998925,-0.0008389012183251943,-0.0002805654154280912,0.0,0.0,0.00045898370553068123,0.0012017641501964604,0.0012017641501964604
baseline,12,11,0.0,0.012,0.1,1.0,2.0,-0.0026735821705098084,-0.10152998265652435,-0.002492296984469178,0.0,0.0,-0.19838283038949195,-0.0005364662858975411,0.0,0.0020000000000000018,-0.0010421960228157445,-0.00021952374498757088,0.0,0.0,0.00015951382753360763,0.00027802030083279305,0.00027802030083279305
integral,12,11,0.0,0.012,0.1,1.0,2.0,-0.0028080542412639853,-0.1018660428416176,0.02892400899328429,0.0,0.0,-0.24523337476874119,-0.0004838188150683709,0.0,0.0020000000000000018,-0.0010454979166296674,-0.00031565308020176097,0.0,0.010550114306493441,0.00032407805581013624,-0.0007165788005440987,-0.0007165788005440987
friction,12,11,0.0,0.012,0.1,1.0,2.0,-0.0035304150620985852,-0.10152998265652435,0.015078637749135426,0.0,0.0,-0.21178548607863837,-0.00042649835997465857,0.0,0.0020000000000000018,-0.0010421960228157445,9.531283026720239e-05,0.0,-0.008587366708920463,0.0002671009976456134,0.0015344191606114777,0.0015344191606114777
online,12,11,0.0,0.012,0.1,1.0,2.0,-0.00343272991211388,-0.033703001178976066,0.0415984512349179,0.0,0.0,-0.21593911595358206,-0.00023182781475444836,0.0,0.0020000000000000018,-0.0010421960228157445,-9.614503987398493e-05,0.0,0.0,0.000455384128761175,0.0013964209727088672,0.0013964209727088672
baseline,13,29,0.0,0.012,0.1,1.0,2.0,-0.00048691947006798686,-0.10067942719096479,-0.0019057601387419965,0.0,0.0,-0.1984838023087699,-0.0003922005373754589,0.0,0.0039999999999998925,-0.0010300722426137554,-0.00016489167942168592,0.0,0.0,0.00016157280675112642,9.352008156415792e-05,9.352008156415792e-05
integral,13,29,0.0,0.012,0.1,1.0,2.0,-0.0007457953979878862,-0.09749992682562514,0.02915442414643188,0.0,0.0,-0.24530740964850417,-0.00043738262813972084,0.0,0.0039999999999998925,-0.001032985273374809,0.00018541663057702884,0.0,0.012323933954312416,0.00032643212804367785,-0.0010083337269737314,-0.0010083337269737314
friction,13,29,0.0,0.012,0.1,1.0,2.0,-0.0016832539409658287,-0.10167464984929886,0.015691144360979514,0.0,0.0,-0.2119247434507272,-0.0003167581761779892,0.0,0.0039999999999998925,-0.0010300722426137554,-0.00028158233442154845,0.0,-0.005882787900389097,0.0002710117096310521,0.0014321237306340606,0.0014321237306340606
online,13,29,0.0,0.012,0.1,1.0,2.0,-0.001678123973752943,-0.0876085935683264,0.042867895647292764,0.0,0.0,-0.21607639009202784,-0.00020445512181185843,0.0,0.0039999999999998925,-0.0010300722426137554,-0.0002848714519554374,0.0,0.0,0.00046136022732510846,0.0011968164991174035,0.0011968164991174035
baseline,14,11,0.0,0.012,0.13,1.0,2.0,-0.002767323307792363,-0.10157793015235583,-0.002481552277675547,0.0,0.0,-0.19838972697230106,-0.0005313930750390772,0.0,0.0020000000000000018,-0.0010403059748087529,-0.00018007958116350586,0.0,0.0,0.00016001229030906255,0.0002980440557509567,0.0002980440557509567
integral,14,11,0.0,0.012,0.13,1.0,2.0,-0.0029013816613648047,-0.1019169223313412,0.02912757777721353,0.0,0.0,-0.24524907570109178,-0.0004813194753195138,0.0,0.0020000000000000018,-0.001043629474672958,-0.0003432232415223613,0.0,0.010557684559388214,0.0003254010119931733,-0.0006204789356853979,-0.0006204789356853979
friction,14,11,0.0,0.012,0.13,1.0,2.0,-0.0036237592007906383,-0.10157793015235583,0.0151966697946464,0.0,0.0,-0.21179689735110271,-0.0004225786745757909,0.0,0.0020000000000000018,-0.0010403059748087529,8.745615404093243e-05,0.0,-0.008595757111010016,0.0002687959072342795,0.0016226019483802645,0.0016226019483802645
online,14,11,0.0,0.012,0.13,1.0,2.0,-0.003528317278723714,-0.03334211111716101,0.04175889830800861,0.0,0.0,-0.21595002638371527,-0.0002331998587681572,0.0,0.0020000000000000018,-0.0010403059748087529,-0.00010251135970640313,0.0,0.0,0.0004565737374609101,0.0014893819831769406,0.0014893819831769406
baseline,15,29,0.0,0.012,0.13,1.0,2.0,-0.0005929634877427925,-0.10024472071814294,-0.0018981630525001236,0.0,0.0,-0.19849118613831188,-0.00038894350310791914,0.0,0.0039999999999998925,-0.0010279523277589853,-0.00015061837274621404,0.0,0.0,0.0001619941121242599,0.0001023011662883988,0.0001023011662883988
integral,15,29,0.0,0.012,0.13,1.0,2.0,-0.0008433499416692358,-0.09683911213709706,0.02936272485366409,0.0,0.0,-0.24532312421881436,-0.00043445146468865103,0.0,0.0039999999999998925,-0.0010308885698417924,0.00018903693438376834,0.0,0.0123338561555979,0.0003278193554348621,-0.000924455386353884,-0.000924455386353884
friction,15,29,0.0,0.012,0.13,1.0,2.0,-0.0017845391217565232,-0.10164220599977547,0.015814382721696107,0.0,0.0,-0.21193624250903226,-0.0003136454086937468,0.0,0.0039999999999998925,-0.0010279523277589853,-0.00028173330623992854,0.0,-0.0058837729222105395,0.000272629215905451,0.0015085700784247535,0.0015085700784247535
online,15,29,0.0,0.012,0.13,1.0,2.0,-0.0017769490141358035,-0.08693064419502328,0.04296219582272287,0.0,0.0,-0.216089682263669,-0.00020411210309048688,0.0,0.0039999999999998925,-0.0010279523277589853,-0.0002698030476810942,0.0,0.0,0.0004626049834535956,0.0012852370331515317,0.0012852370331515317
baseline,16,11,15.0,0.005,0.1,1.0,2.0,0.009606603732102287,-0.010551622271060879,-0.005118168271071255,0.0,0.0,-0.17926450370260533,-0.00026740156483770483,0.0,0.0020000000000000018,-0.0007435725885122091,-0.0006559212719863261,0.0,0.0,0.00019032929275379293,-0.0009672594806025003,-0.0009672594806025003
integral,16,11,15.0,0.005,0.1,1.0,2.0,0.015548217638186007,0.03766994344484509,0.026560634666308758,0.0,0.0,-0.22272382245989036,-0.0001207059732931115,0.0,0.0020000000000000018,-0.0007478944650287644,-7.344517240737147e-05,0.0,-0.009471549854976224,0.00041148879136840635,0.0001921588725810608,0.0001921588725810608
friction,16,11,15.0,0.005,0.1,1.0,2.0,0.004558036696553386,-0.028012117087188315,0.012908129751524777,0.0,0.0,-0.19574575109330236,-9.144554537374172e-05,0.0,0.0020000000000000018,-0.000743572588387309,-0.00025778866963654945,0.0,0.009042063484677954,0.0003273977506839821,0.00042708230174870465,0.00042708230174870465
online,16,11,15.0,0.005,0.1,1.0,2.0,0.008592838252135915,-0.00717540533429073,0.053745540665047775,0.0,0.0,-0.20038611076155574,-1.0420439376407353e-05,0.0,0.0020000000000000018,-0.000743572588387309,-0.0003411706945860571,0.0,0.0,0.0005020342094392092,0.0006774218698657464,0.0006774218698657464
baseline,17,29,15.0,0.005,0.1,1.0,2.0,0.011282053428189165,0.03141073529056726,-0.005033974769272476,0.0,0.0,-0.17935837073833236,2.5310410684237228e-05,0.0,0.0020000000000000018,-0.0007433175137488979,-0.00039405276758452956,0.0,0.0,0.00019080548470382097,-0.0009682059807261112,-0.0009682059807261112
integral,17,29,15.0,0.005,0.1,1.0,2.0,0.01715143485610396,0.06755485038857145,0.0267862414508393,0.0,0.0,-0.2228082800034158,0.00014501644123537938,0.0,0.0020000000000000018,-0.0007485988071791461,-0.00023473966703768667,0.0,-0.006504821579011555,0.0004127955198165098,-0.0007937763888845595,-0.0007937763888845595
friction,17,29,15.0,0.005,0.1,1.0,2.0,0.006157002739414802,-0.027231505270165712,0.013619558012177624,0.0,0.0,-0.19581822918856856,5.981814536049068e-05,0.0,0.0020000000000000018,-0.0007433175138320536,-0.0001933855051580169,0.0,0.020283472517202306,0.0003338882814488378,0.0005264734774410584,0.0005264734774410584
online,17,29,15.0,0.005,0.1,1.0,2.0,0.01034793863751135,-0.005079787914501921,0.05581602791096163,0.0,0.0,-0.20049997713044462,0.00012002107991340716,0.0,0.0020000000000000018,-0.0007433175138320536,-0.00013202813569868077,0.0,0.0,0.0005120892281019595,0.0007703281917663674,0.0007703281917663674
baseline,18,11,15.0,0.005,0.13,1.0,2.0,0.009544428901514246,-0.010816628659355843,-0.005094099840331268,0.0,0.0,-0.17927019882007872,-0.00026251007880900845,0.0,0.0020000000000000018,-0.0007421986743423314,-0.0006373918627899933,0.0,0.0,0.00019086961748197503,-0.0008232355541117897,-0.0008232355541117897
integral,18,11,15.0,0.005,0.13,1.0,2.0,0.015503562612533495,0.03760881581649578,0.02681867198363541,0.0,0.0,-0.222734367115413,-0.00011633939203867238,0.0,0.0020000000000000018,-0.0007465416099299294,-6.62826689177276e-05,0.0,-0.00945610365348415,0.00041308123229023136,0.0005083644000904997,0.0005083644000904997
friction,18,11,15.0,0.005,0.13,1.0,2.0,0.004495053671128957,-0.027944344761449358,0.013083983428875179,0.0,0.0,-0.19575842014300016,-8.727077772816005e-05,0.0,0.0020000000000000018,-0.0007421986741202868,-0.00023180845036907538,0.0,0.00910527325493593,0.0003291745071533898,0.0006249539116396363,0.0006249539116396363
online,18,11,15.0,0.005,0.13,1.0,2.0,0.008531580285821322,-0.007179211089095361,0.05380196548724636,0.0,0.0,-0.20039992447927604,-9.791262757352648e-06,0.0,0.0020000000000000018,-0.0007421986741202868,-0.00032002368869155084,0.0,0.0,0.0005025937618239424,0.0008780478072871745,0.0008780478072871745
baseline,19,29,15.0,0.005,0.13,1.0,2.0,0.011230994121945531,0.031261474231842,-0.005007701182936586,0.0,0.0,-0.17936404159242123,2.9037312157559336e-05,0.0,0.0040000000000000036,-0.0007416280967710298,-0.0004010682372219687,0.0,0.0,0.00019133751491089493,-0.0008304457902061912,-0.0008304457902061912
