category,method,case_index,scenario,simulation_seed,duration_s,controller_yaw_deg,wall_yaw_deg,wall_time_constant_s,tool_mass_kg,true_sliding_friction,has_raw_contact,force_rmse_n,peak_force_n,tangent_rmse_mm,contact_ratio_pct,saturation_pct,orientation_rmse_deg,measurement_rmse_n,seconds_over_35_n,first_raw_contact_time_s,max_penetration_mm,evaluation_median_penetration_mm,projection_pct,max_compensation_force_n,baseline_metric_max_abs_error,case_checks_pass,failed_case_checks
main,baseline,16,surface_dev_16,11,4.5,15.0,15.0,0.005,0.1,0.45,True,0.18405042298814628,12.620729988248337,11.801780095865656,100.0,0.0,0.39526747945583535,0.20297444646518253,0.0,0.544,0.7896328860047055,0.6661088829709017,0.0,0.0,0.0,yes,
main,baseline,17,surface_dev_17,29,4.5,15.0,15.0,0.005,0.1,0.45,True,0.1755141417515295,12.599041467799319,11.791575884976647,100.0,0.0,0.3956075184214987,0.20840370283625953,0.0,0.544,0.7894180896112213,0.6654468236411173,0.0,0.0,0.0,yes,
main,baseline,18,surface_dev_18,11,4.5,15.0,15.0,0.005,0.13,0.45,True,0.18454114668449664,12.621832743060997,11.804806536138866,100.0,0.0,0.39533431409863123,0.2029121527964673,0.0,0.544,0.7880697485673077,0.6639139648033279,0.0,0.0,0.0,yes,
main,baseline,19,surface_dev_19,29,4.5,15.0,15.0,0.005,0.13,0.45,True,0.17574927680732128,12.600152578081135,11.794599380739623,100.0,0.0,0.39567485328350627,0.20835061681572747,0.0,0.544,0.787856630716819,0.6632715792482258,0.0,0.0,0.0,yes,
main,baseline,20,surface_dev_20,11,4.5,15.0,15.0,0.012,0.1,0.45,True,0.1867531272752267,12.638381981456387,11.80636688446089,100.0,0.0,0.39549305165019344,0.2035108768963834,0.0,0.544,0.8509454786976567,0.717143443467707,0.0,0.0,0.0,yes,
main,baseline,21,surface_dev_21,29,4.5,15.0,15.0,0.012,0.1,0.45,True,0.17809677188060943,12.612488486894364,11.796179743873726,100.0,0.0,0.3958359637624002,0.20892205897273183,0.0,0.544,0.8507462602938554,0.7169387464854693,0.0,0.0,0.0,yes,
main,baseline,22,surface_dev_22,11,4.5,15.0,15.0,0.012,0.13,0.45,True,0.187239038673398,12.639359469003512,11.809377992572083,100.0,0.0,0.3955585105362572,0.2034441232754864,0.0,0.544,0.8492252600052451,0.7149654249689799,0.0,0.0,0.0,yes,
main,baseline,23,surface_dev_23,29,4.5,15.0,15.0,0.012,0.13,0.45,True,0.17833229261383077,12.613569433329904,11.799185139238112,100.0,0.0,0.39590173062981854,0.20886598282764365,0.0,0.544,0.8490273225311915,0.7147519530949498,0.0,0.0,0.0,yes,
main,integral,0,surface_dev_00,11,4.5,-15.0,-15.0,0.005,0.1,0.45,True,0.2331118900731635,12.62263433960153,8.08945118948322,100.0,0.0,0.6526200436942701,0.20379048880067802,0.0,0.544,0.7896588487992899,0.6439744861609173,0.0,5.269030526563039,,yes,
main,integral,1,surface_dev_01,29,4.5,-15.0,-15.0,0.005,0.1,0.45,True,0.22533728582239673,12.606161093285678,8.086222919688705,100.0,0.0,0.6527717894754275,0.20866235186731047,0.0,0.546,0.7894098932713436,0.6439674440827138,0.0,5.256625418794672,,yes,
