surface_yaw_deg,scale,case,arm,simulation_seed,phase,sample_count,force_rmse_n,peak_force_n,contact_ratio_pct,tangent_rmse_mm,tangent_velocity_error_rms_m_s,orientation_rmse_deg,saturation_pct,projection_pct,minimum_torque_headroom_nm,minimum_reserved_torque_headroom_nm,paired_baseline_force_rmse_increase_n,paired_baseline_orientation_rmse_increase_deg,paired_friction_force_rmse_increase_n,paired_friction_orientation_rmse_increase_deg,failed_gates,all_gates_pass,supplemental_failures,all_checks_pass
15.0,1,modest_combined,friction,11,combined_post,2000,0.8030302501622534,11.838467880187357,100.0,4.44838912227347,0.005365208257081134,0.4262694744608536,0.0,0.0,5.620280125695685,4.420280125695686,-0.010975876182923727,-0.014121851103029937,0.0,0.0,,yes,,yes
15.0,1,modest_combined,online,11,pre_change,1250,0.12659154270213682,12.326054470739377,100.0,1.7972329659155355,0.004182959647638352,0.5104415093305257,0.0,0.0,6.291427883136855,5.091427883136856,-0.0005455071249592658,0.027289490936185157,0.0016373178210668943,0.0012376045065430885,,yes,,yes
15.0,1,modest_combined,online,11,combined_transition,2000,0.42851827240624685,12.374976260816783,100.0,1.4350661970578291,0.003685117537607361,0.27962162136623897,0.0,0.0,5.834372110118734,4.6343721101187345,0.013774866528851737,0.022724106702455782,-0.004803684020045551,0.00702578471407278,,yes,,yes
15.0,1,modest_combined,online,11,combined_post,2000,0.8020661430764406,11.828149804524852,100.0,3.3183299809868836,0.003994381526470877,0.4311951404836097,0.0,0.0,5.622490524736863,4.4224905247368635,-0.011939983268736465,-0.009196185080273866,-0.0009641070858127376,0.00492566602275607,,yes,,yes
-15,2,stop_hold_reverse,baseline,11,forward,1500,0.20153024592373694,12.421797769933947,100.0,11.827716922875771,0.01806441629113514,0.28363582982885865,0.0,0.0,6.2316422393661615,5.031642239366162,0.0,0.0,-0.009666006151053758,-0.011798280383562232,,yes,,yes
-15,2,stop_hold_reverse,baseline,11,stopping,500,0.15478420764766274,12.203582876748774,100.0,10.318215656648727,0.008175618142568284,0.14109099684277662,0.0,0.0,5.966625683629485,4.766625683629486,0.0,0.0,-0.02945711622197797,-0.021043302072381587,,yes,,yes
-15,2,stop_hold_reverse,baseline,11,hold,750,0.038203875257376604,12.122069047953905,100.0,5.968999103409647,0.003941742502578696,0.14602158359415882,0.0,0.0,6.075108808190129,4.87510880819013,0.0,0.0,-0.008175355707480368,0.05346389333993719,,yes,,yes
-15,2,stop_hold_reverse,baseline,11,reverse_ramp,500,0.09713945381736462,12.110658337554709,100.0,7.111989113513593,0.021398967676987478,0.1058303215070071,0.0,0.0,6.390095096875434,5.190095096875435,0.0,0.0,0.02390669388224434,-0.007666651345933889,,yes,,yes
-15,2,stop_hold_reverse,baseline,11,reverse,2000,0.08181586492946898,12.194409884500926,100.0,11.67840174248354,0.014251577479347553,0.15494390274013556,0.0,0.0,5.732529140348788,4.532529140348789,0.0,0.0,-0.0037582320344511783,-0.012417734009616599,,yes,,yes
-15,2,stop_hold_reverse,friction,11,forward,1500,0.2111962520747907,12.452246012460124,100.0,1.9039278607931944,0.003987431757055224,0.2954341102124209,0.0,0.0,6.263858102451678,5.063858102451679,0.009666006151053758,0.011798280383562232,0.0,0.0,,yes,,yes
-15,2,stop_hold_reverse,friction,11,stopping,500,0.1842413238696407,12.329765069059341,100.0,0.7709500624768274,0.002775690744214075,0.1621342989151582,0.0,0.0,5.77448073974779,4.5744807397477905,0.02945711622197797,0.021043302072381587,0.0,0.0,,yes,,yes
-15,2,stop_hold_reverse,friction,11,hold,750,0.04637923096485697,12.199457987030783,100.0,0.28820228406278514,0.0002454423111567302,0.09255769025422163,0.0,0.0,6.484829214535582,5.284829214535582,0.008175355707480368,-0.05346389333993719,0.0,0.0,,yes,,yes
-15,2,stop_hold_reverse,friction,11,reverse_ramp,500,0.07323275993512028,12.14071572133423,100.0,1.7091996014959572,0.004016271167180802,0.11349697285294098,0.0,0.0,6.555435897394112,5.355435897394113,-0.02390669388224434,0.007666651345933889,0.0,0.0,,yes,,yes
-15,2,stop_hold_reverse,friction,11,reverse,2000,0.08557409696392015,12.178841961012925,100.0,1.5898978777841108,0.002309102030012233,0.16736163674975216,0.0,0.0,5.760539300980955,4.560539300980956,0.0037582320344511783,0.012417734009616599,0.0,0.0,,yes,,yes
-15,2,stop_hold_reverse,online,11,forward,1500,0.21951198285111498,12.466836423333243,100.0,1.4116475912807755,0.004661938251512879,0.3046858788926185,0.0,0.0,6.2570565945616075,5.057056594561608,0.017981736927378034,0.021050049063759846,0.008315730776324276,0.009251768680197614,,yes,,yes
-15,2,stop_hold_reverse,online,11,stopping,500,0.18463484010427428,12.323942406419333,100.0,1.1821539641236434,0.0024980803703601143,0.1664591373738905,0.0,0.0,5.747613534437073,4.547613534437073,0.029850632456611542,0.025368140531113886,0.000393516234633573,0.0043248384587323,,yes,,yes
-15,2,stop_hold_reverse,online,11,hold,750,0.048892356901738626,12.212799418311565,100.0,0.7596828619259937,0.0004864558634718246,0.09241850415278999,0.0,0.0,6.4933873532763595,5.29338735327636,0.010688481644362022,-0.05360307944136883,0.0025131259368816536,-0.00013918610143164034,,yes,,yes
-15,2,stop_hold_reverse,online,11,reverse_ramp,500,0.06896796278050407,12.136835134807223,100.0,1.0850858175336107,0.0026602540294609596,0.12038952883105189,0.0,0.0,6.564957622115948,5.3649576221159485,-0.02817149103686055,0.014559207324044796,-0.0042647971546162095,0.006892555978110906,,yes,,yes
-15,2,stop_hold_reverse,online,11,reverse,2000,0.08647450036395393,12.18355892062104,100.0,0.8813172216233801,0.0014151857907340646,0.17018300886037552,0.0,0.0,5.760257914901324,4.5602579149013245,0.004658635434484956,0.01523910612023996,0.0009004034000337779,0.0028213721106233602,,yes,,yes
-15,2,modest_combined,baseline,11,pre_change,1250,0.281920964835679,12.47425852413562,100.0,8.828571419356582,0.013961831402997976,0.34020725998133916,0.0,0.0,6.371816370049007,5.171816370049008,0.0,0.0,-0.008572338579494354,-0.0168923278639308,,yes,,yes
-15,2,modest_combined,baseline,11,combined_transition,2000,0.43585862357533817,12.34808101810714,100.0,7.627762246015769,0.012470124146278926,0.13696336282018312,0.0,0.0,5.968982629208656,4.768982629208657,0.0,0.0,-0.036740074763454256,0.011182487051728807,,yes,,yes
-15,2,modest_combined,baseline,11,combined_post,2000,0.7754914902539006,11.817197696982566,100.0,13.97375655477512,0.016818822478739746,0.14030429760884414,0.0,0.0,5.682236605117064,4.482236605117064,0.0,0.0,0.019483535521256368,-0.00805667574019095,,yes,,yes
-15,2,modest_combined,friction,11,pre_change,1250,0.2904933034151734,12.475118862681903,100.0,3.0152943792581315,0.003963967001406781,0.35709958784526996,0.0,0.0,6.45492338666023,5.254923386660231,0.008572338579494354,0.0168923278639308,0.0,0.0,,yes,,yes
-15,2,modest_combined,friction,11,combined_transition,2000,0.4725986983387924,12.399144608189337,100.0,1.780964849887073,0.003573700656938443,0.12578087576845431,0.0,0.0,5.830119003193405,4.630119003193406,0.036740074763454256,-0.011182487051728807,0.0,0.0,,yes,,yes
-15,2,modest_combined,friction,11,combined_post,2000,0.7560079547326443,11.796513859700111,100.0,4.426956008674572,0.005409118307137591,0.14836097334903509,0.0,0.0,5.718308920783906,4.518308920783907,-0.019483535521256368,0.00805667574019095,0.0,0.0,,yes,,yes
-15,2,modest_combined,online,11,pre_change,1250,0.2969143682259701,12.471992859719574,100.0,1.8863186706907318,0.004705289382155547,0.3619004982670611,0.0,0.0,6.47438325335305,5.274383253353051,0.014993403390291093,0.02169323828572195,0.006421064810796739,0.004800910421791149,,yes,,yes
